,Health Service Delivery Area,Year,Gender,<1,04-Jan,09-May,14-Oct,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,Total
42,Central Vancouver Island,2016,T,2215,9435,12693,12404,14326,14045,13139,14705,14693,14846,16415,19643,22693,23583,22588,16994,11868,8234,5261,3160,272940
43,North Vancouver Island,2016,M,531,2282,3231,3090,3415,2921,2665,3217,3312,3550,3651,4519,5103,5233,5094,3778,2371,1568,874,362,60767
43,North Vancouver Island,2016,F,471,2241,2898,2853,3202,2677,2847,3495,3653,3486,3818,4884,5544,5465,4917,3478,2294,1656,1072,793,61744
43,North Vancouver Island,2016,T,1002,4523,6129,5943,6617,5598,5512,6712,6965,7036,7469,9403,10647,10698,10011,7256,4665,3224,1946,1155,122511
51,Northwest,2016,M,405,1709,2291,2194,2388,2250,2120,2169,2180,2373,2475,2787,3006,2660,2094,1460,888,543,288,191,36471
51,Northwest,2016,F,424,1672,2270,2070,2144,1899,2018,2112,2092,2150,2394,2663,2703,2332,1799,1307,871,576,433,326,34255
51,Northwest,2016,T,829,3381,4561,4264,4532,4149,4138,4281,4272,4523,4869,5450,5709,4992,3893,2767,1759,1119,721,517,70726
52,Northern Interior,2016,M,717,3291,4315,3984,4497,4914,4446,4399,4280,4443,4849,5412,5658,4916,3953,2787,1758,1119,607,291,70636
52,Northern Interior,2016,F,708,2939,3903,3835,4133,4279,4200,4431,4282,4274,4554,5254,5314,4476,3758,2597,1817,1241,712,482,67189
52,Northern Interior,2016,T,1425,6230,8218,7819,8630,9193,8646,8830,8562,8717,9403,10666,10972,9392,7711,5384,3575,2360,1319,773,137825
53,Northeast,2016,M,526,2029,2459,2157,2274,2911,3100,3023,2606,2331,2254,2457,2387,1798,1235,851,538,351,196,114,35597
53,Northeast,2016,F,483,1979,2226,2138,2017,2465,2666,2649,2352,2008,2040,2137,2038,1550,1119,784,541,480,273,226,32171
53,Northeast,2016,T,1009,4008,4685,4295,4291,5376,5766,5672,4958,4339,4294,4594,4425,3348,2354,1635,1079,831,469,340,67768
